Shri Baba Shyam Nath Shiv Temple (Sitapur City) | Sitapur | Sitapur
Rudravart Mahadev Temple (Naimisharanya) | Naimisharanya | Sitapur
Bhooteshwar Nath Temple (Naimisharanya) | Naimisharanya | Sitapur
Dev Deveshwar Dhaam (Thakur Nagar, Naimisharanya) | Naimisharanya | Sitapur
Patthar Shivalala (Biswan) | Biswan | Sitapur
Rameshwaram Temple (Ramkot) | Ramkot | Sitapur
Dudhnath Temple (Shankar Ganj, Biswan) | Biswan | Sitapur
Siddheshwar Mahadev Mandir (Sidhauli) | Sidhauli | Sitapur
Baba Jangli Nath Mandir (Sitapur City) | Sitapur | Sitapur
Vinay Shiv Mandir (Unchakhera Kalan) | Unchakhera Kalan | Sitapur
Shivala Nabinagar (Laharpur) | Laharpur | Sitapur
Tarak Nath Mandir (Tareenpur) | Tareenpur | Sitapur
Trikonanath Mandir (Lohar Bagh) | Sitapur | Sitapur
Koteshwar Mahadev Mandir (Pakka Bagh) | Sitapur | Sitapur
Shiv Temple Machhrehta (Matasiya Lakhnsepur) | Machhrehta | Sitapur
Thakurdwara Shiv Mandir (Tambaur) | Tambaur | Sitapur
Chandra Bhal Shiv Mandir (Rayapur) | Rayapur | Sitapur
Satendreswar Mahadev Mandir (Maholi) | Maholi | Sitapur
Shri Deveshwar Mandir (Daheliya Sultanpur) | Daheliya Sultanpur | Sitapur
Shingheswari Mandir - Naugarh | Naugarh | Siddharthnagar
Kateshwar Nath Dham/Madir - Itwa | Itwa | Siddharthnagar
Shree Shree Baba Paltan Nath Mandir - Mahadewa/Naugarh | Naugarh | Siddharthnagar
Baba Mateshwar Nath Shiv Temple (Pali) - Mithwal | Mithwal | Siddharthnagar
Shiv Mandir (Bagiyawa) - Naugarh | Naugarh | Siddharthnagar
Bharat Bhari Temple - Domariyaganj | Domariyaganj | Siddharthnagar
Rithiya Shiv Mandir - Rithia Bazar | Rithia Bazar | Siddharthnagar
Shiv Mandir Aichani - Banauli | Banauli | Siddharthnagar
Madhukarpur Shiv Mandir - Bansi/Madhukarpur | Bansi | Siddharthnagar
Shiv Mandir - Khuniyawan | Khuniyawan | Siddharthnagar
Shri Shohrat Nath Temple - Shohratgarh | Shohratgarh | Siddharthnagar
Shiv Temple Bharama/Shivalay Mandir - Bansi | Bansi | Siddharthnagar
SHIVA TEMPLE CHAUKHARA - Domariyaganj | Domariyaganj | Siddharthnagar
Shri Sankteshwarnath Shiv Mandir (Sakatpur Dham) - Naugarh/Bansi | Naugarh | Siddharthnagar
Chanchai Mata And Shiv Temple - Bansi | Bansi | Siddharthnagar
Shiv Temple - Mahariya/Naugarh | Naugarh | Siddharthnagar
Shiv Temple - Kodara Grant/Naugarh | Naugarh | Siddharthnagar
Vibhuti Nath Temple - Shravasti/Sirsia | Sirsia | Shravasti
Shiv Mandir - Shravasti/Ikauna (Wajahi) | Ikauna | Shravasti
Bargadhi Shiv Kailash Mandir - Shravasti/Ikauna | Ikauna | Shravasti
Pachdewari Shiv Mandir - Shravasti/Bhinga (Katha) | Bhinga | Shravasti
Shiv Mandir - Shravasti/Bhinga | Bhinga | Shravasti
Nageshwar Nath Mandir - Shravasti/Sirsia (Madhwapur) | Sirsia | Shravasti
Shiv Shakti Mandir - Shravasti/Bhinga (Dadauli) | Bhinga | Shravasti
Jharkhandi Baba - Shravasti/Ikauna (Harbanshpur) | Ikauna | Shravasti
Shiv Mandir - Shravasti/Gilaula | Gilaula | Shravasti
Shiv Murti (Gandhi Chowk) | Shamli | Shamli
Barkhandi Mahadev Temple | Shamli | Shamli
